"Source:","C:\Users\Dell Xps\Documents\guitar\guitar.sch"
"Date:","3/15/2021 6:39:24 PM"
"Tool:","Eeschema (5.1.8)-1"
"Generator:","D:\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","164"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"75","1","D73","8-6","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"76","1","D74","9-6","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"77","1","D75","10-6","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"78","1","D76","11-6","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"79","1","D77","12-6","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"80","1","D78","1-5","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"81","1","D79","2-5","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"82","1","D80","3-5","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"83","1","D81","4-5","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"84","1","D82","6-5","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"85","1","D83","7-5","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"86","1","D84","8-5","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"87","1","D85","9-5","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"88","1","D86","10-5","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"89","1","D87","11-5","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"90","1","D88","12-5","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"91","1","D89","1-4","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"92","1","D90","2-4","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"93","1","D91","3-4","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"94","1","D92","5-4","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"95","1","D93","6-4","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"96","1","D94","7-4","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"97","1","D95","8-4","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"98","1","D96","9-4","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"99","1","D97","10-4","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"100","1","D98","11-4","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"101","1","D99","12-4","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"102","1","D100","1-3","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"103","1","D101","2-3","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"104","1","D102","4-3","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"105","1","D103","5-3","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"106","1","D104","6-3","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"107","1","D105","7-3","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"108","1","D106","8-3","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"109","1","D107","9-3","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"110","1","D108","10-3","Device:LED","LED_SMD:LED_0603_1608Metric","~"
